@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute std_SharpnessA numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute mean_Spectral_Dissonance(S) numeric
@attribute mean_Tonal_Dissonance(S) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute output {lonely,notlonely}

@data
52.07318,1.272432,0.628457,0.868153,25.43293,5.306367,0.000613,0.006302,1.567075,lonely
137.8057,1.337502,0.669078,0.878032,136.8995,8.674833,0.000691,0.00498,4.115389,lonely
65.29396,1.20055,0.712034,0.86985,83.80338,6.675805,0.000506,0.003549,3.581782,lonely
70.17699,1.412809,0.657625,0.895591,39.48222,5.286911,0.000161,0.003121,0.969259,lonely
71.60688,1.252582,0.717448,0.889253,80.32098,6.419342,0.000284,0.014388,0.882358,lonely
86.51777,1.399247,0.675129,0.902206,63.48364,5.891057,0.000107,0.00998,0.507528,lonely
44.3937,1.104956,0.867332,0.874745,51.91369,6.662965,0.00036,0.004249,1.758683,lonely
86.5218,1.329663,0.559248,0.8881,222.0061,6.038681,0.000154,0.012582,0.59012,lonely
51.34052,1.0444,0.739133,0.868308,272.0353,6.613613,0.000296,0.009637,2.768836,lonely
52.74278,1.137002,0.725739,0.880072,192.0251,6.20005,0.000282,0.005617,0.892018,lonely
65.99374,1.284039,0.611201,0.865877,54.94199,5.908113,0.001159,0.005006,1.123177,lonely
67.30534,1.248157,0.78202,0.887025,49.5447,6.176308,0.000327,0.007007,0.49393,lonely
56.77335,1.247836,0.848575,0.863674,53.62759,5.964696,0.000697,0.00388,2.047451,lonely
68.00964,1.189713,0.671685,0.881672,71.13964,6.723567,0.000194,0.005313,0.316257,lonely
48.05316,1.065897,0.974129,0.856515,42.32755,6.736684,0.000671,0.004712,2.21962,lonely
67.31939,1.405424,0.54746,0.883862,33.4244,5.103879,0.000206,0.003001,0.991382,lonely
61.43262,1.191174,1.095885,0.886455,49.76922,6.764481,0.000306,0.003531,1.831772,lonely
74.74166,1.378963,0.563062,0.885025,49.23537,5.56736,0.000298,0.006654,0.872437,lonely
63.59921,1.213817,0.680814,0.88878,115.5705,6.339677,0.000197,0.004321,0.509188,lonely
69.6776,1.291977,0.782344,0.897101,152.6959,6.090663,0.000126,0.009448,0.490431,lonely
53.98695,1.086142,0.773382,0.867438,222.9461,6.975616,0.000382,0.008332,1.518495,lonely
97.2544,1.556782,0.578419,0.896946,117.7259,5.356578,0.000167,0.012849,0.799537,lonely
76.169,1.345711,0.669013,0.891903,90.99966,5.855996,0.000234,0.012952,0.56533,lonely
67.69045,1.16472,0.932875,0.882184,66.08259,7.195129,0.000398,0.007409,0.959659,lonely
