@relation 'arff_file/psysound.arff-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.FilteredSubsetEval -W \"weka.attributeSelection.CfsSubsetEval \" -F \"weka.filters.supervised.instance.SpreadSubsample -M 0.0 -X 0.0 -S 1\"-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N -1'

@attribute mean_Loudness numeric
@attribute std_Loudness numeric
@attribute mean_SharpnessA numeric
@attribute mean_SharpnessZ numeric
@attribute std_SharpnessZ numeric
@attribute std_Spectral_Dissonance(HK) numeric
@attribute std_Spectral_Dissonance(S) numeric
@attribute std_Timbral_Width numeric
@attribute std_Tonal_Dissonance(HK) numeric
@attribute std_Tonal_Dissonance(S) numeric
@attribute std_Volume numeric
@attribute mean_SpectralCentroid numeric
@attribute output {energetic,notenergetic}

@data
81.15282,5.064769,1.379582,0.979516,0.9018,125.6135,95.60751,0.008195,0.112619,0.013553,0.301969,564.7545,energetic
85.23017,5.160558,1.366817,1.313009,0.907258,49.38931,60.94729,0.005127,0.092735,0.011116,0.150209,517.6716,energetic
61.9488,5.569322,1.630792,0.555777,0.881303,16.63957,279.7844,0.024787,0.2654,0.010793,1.015408,1270,energetic
78.63855,5.693772,1.514727,1.055682,0.900483,96.18412,164.5454,0.012254,0.210411,0.032782,0.257104,621.2875,energetic
95.65203,5.690008,1.420495,1.230878,0.893266,56.35651,168.2139,0.01081,0.164884,0.011018,0.39235,718.608,energetic
87.10398,5.762616,1.475347,1.178593,0.903986,31.83797,94.48918,0.004272,0.104778,0.00317,0.233688,600.5852,energetic
101.5637,6.832937,1.609053,1.163105,0.895719,30.51398,44.31297,0.006165,0.05885,0.017871,0.164092,1416.831,energetic
98.86135,6.668357,1.590698,1.103532,0.892754,46.88092,152.8261,0.004721,0.084692,0.017005,0.167064,1278.032,energetic
86.90933,5.640005,1.469032,0.915363,0.900249,84.83884,165.0506,0.010198,0.072288,0.01552,0.253086,919.9327,energetic
79.69973,4.835204,1.337548,1.110696,0.895776,88.46821,138.576,0.012019,0.163878,0.019955,0.491263,505.936,energetic
81.95091,5.63548,1.47646,0.965712,0.902846,97.8757,195.5565,0.032915,0.176707,0.024188,0.579135,575.5948,energetic
66.67944,4.780786,1.396064,0.922137,0.900823,22.79235,225.4152,0.015874,0.294188,0.004613,0.437254,347.3658,energetic
